Song,Album,Lyric,Previous Lyric,Next Lyric,Multiplicity
All We Know,All We Know Is Falling,We've tried so hard to understand,,But we can't,1
All We Know,All We Know Is Falling,But we can't,We've tried so hard to understand,We held the world out in our hands,1
All We Know,All We Know Is Falling,We held the world out in our hands,But we can't,And you ran away,1
All We Know,All We Know Is Falling,And you ran away,We held the world out in our hands,It takes some time to let you go,1
All We Know,All We Know Is Falling,It takes some time to let you go,And you ran away,And it shows,1
All We Know,All We Know Is Falling,And it shows,It takes some time to let you go,'Cause all we know,2
All We Know,All We Know Is Falling,'Cause all we know,And it shows,"Is falling, it falls",2
All We Know,All We Know Is Falling,"Is falling, it falls",'Cause all we know,And remember,2
All We Know,All We Know Is Falling,And remember,"Is falling, it falls",'Cause I know that we won't forget at all,2
All We Know,All We Know Is Falling,'Cause I know that we won't forget at all,And remember,Now we could follow you back home,1
All We Know,All We Know Is Falling,Now we could follow you back home,'Cause I know that we won't forget at all,But we won't,1
All We Know,All We Know Is Falling,But we won't,Now we could follow you back home,Is this what you had waited for?,1
All We Know,All We Know Is Falling,Is this what you had waited for?,But we won't,Just to be alone?,1
All We Know,All We Know Is Falling,Just to be alone?,Is this what you had waited for?,It takes some time to let you go,1
All We Know,All We Know Is Falling,It takes some time to let you go,Just to be alone?,And it shows,1
All We Know,All We Know Is Falling,'Cause I know that we won't forget at all,And remember,You never,1
All We Know,All We Know Is Falling,You never,'Cause I know that we won't forget at all,You never said,1
All We Know,All We Know Is Falling,You never said,You never,This wasn't what you wanted,1
All We Know,All We Know Is Falling,This wasn't what you wanted,You never said,Was it? Was it?,1
All We Know,All We Know Is Falling,Was it? Was it?,This wasn't what you wanted,This isn't what you wanted,1
All We Know,All We Know Is Falling,This isn't what you wanted,Was it? Was it?,This isn't what you wanted,1
All We Know,All We Know Is Falling,This isn't what you wanted,This isn't what you wanted,'Cause all we know,1
All We Know,All We Know Is Falling,'Cause all we know,This isn't what you wanted,"Is falling, it falls",1
All We Know,All We Know Is Falling,"Is falling, it falls",'Cause all we know,Remember,1
All We Know,All We Know Is Falling,Remember,"Is falling, it falls",'Cause I know that we won't forget at all,1
All We Know,All We Know Is Falling,'Cause I know that we won't forget at all,Remember,,1
Pressure,All We Know Is Falling,Tell me where our time went,,And if it was time well spent,1
Pressure,All We Know Is Falling,And if it was time well spent,Tell me where our time went,Just don't let me fall asleep,1
Pressure,All We Know Is Falling,Just don't let me fall asleep,And if it was time well spent,Feeling empty again,1
Pressure,All We Know Is Falling,Feeling empty again,Just don't let me fall asleep,'Cause I fear I might break,1
Pressure,All We Know Is Falling,'Cause I fear I might break,Feeling empty again,And I fear I can't take it,1
Pressure,All We Know Is Falling,And I fear I can't take it,'Cause I fear I might break,"Tonight, I'll lie awake",1
Pressure,All We Know Is Falling,"Tonight, I'll lie awake",And I fear I can't take it,Feeling empty,1
Pressure,All We Know Is Falling,Feeling empty,"Tonight, I'll lie awake",I can feel the pressure,1
Pressure,All We Know Is Falling,I can feel the pressure,Feeling empty,It's getting closer now,3
Pressure,All We Know Is Falling,It's getting closer now,I can feel the pressure,We're better off without you,5
Pressure,All We Know Is Falling,We're better off without you,It's getting closer now,I can feel the pressure,2
Pressure,All We Know Is Falling,I can feel the pressure,We're better off without you,It's getting closer now,2
Pressure,All We Know Is Falling,We're better off without you,It's getting closer now,Now that I'm losing hope,1
Pressure,All We Know Is Falling,Now that I'm losing hope,We're better off without you,And there's nothing else to show,1
Pressure,All We Know Is Falling,And there's nothing else to show,Now that I'm losing hope,For all of the days that we spent,1
Pressure,All We Know Is Falling,For all of the days that we spent,And there's nothing else to show,Carried away from home,1
Pressure,All We Know Is Falling,Carried away from home,For all of the days that we spent,"Some things, I'll never know",1
Pressure,All We Know Is Falling,"Some things, I'll never know",Carried away from home,And I had to let them go,1
Pressure,All We Know Is Falling,And I had to let them go,"Some things, I'll never know",I'm sitting all alone,1
Pressure,All We Know Is Falling,I'm sitting all alone,And I had to let them go,Feeling empty,1
Pressure,All We Know Is Falling,Feeling empty,I'm sitting all alone,I can feel the pressure,1
Pressure,All We Know Is Falling,We're better off without you,It's getting closer now,(Without you),1
Pressure,All We Know Is Falling,(Without you),We're better off without you,"Some things, I'll never know",1
Pressure,All We Know Is Falling,"Some things, I'll never know",(Without you),And I had to let them go,1
Pressure,All We Know Is Falling,And I had to let them go,"Some things, I'll never know","Some things, I'll never know",1
Pressure,All We Know Is Falling,"Some things, I'll never know",And I had to let them go,And I had to let them go,1
Pressure,All We Know Is Falling,And I had to let them go,"Some things, I'll never know","Well, I'm sitting all alone",1
Pressure,All We Know Is Falling,"Well, I'm sitting all alone",And I had to let them go,Feeling empty,1
Pressure,All We Know Is Falling,Feeling empty,"Well, I'm sitting all alone",I can feel the pressure,1
Pressure,All We Know Is Falling,We're better off without you,It's getting closer now,Feel the pressure,1
Pressure,All We Know Is Falling,Feel the pressure,We're better off without you,It's getting closer now,1
Pressure,All We Know Is Falling,It's getting closer now,Feel the pressure,You're better off without me,1
Pressure,All We Know Is Falling,You're better off without me,It's getting closer now,,1
Emergency,All We Know Is Falling,I think we have an emergency,,I think we have an emergency,1
Emergency,All We Know Is Falling,I think we have an emergency,I think we have an emergency,"If you thought I'd leave, then you were wrong",1
Emergency,All We Know Is Falling,"If you thought I'd leave, then you were wrong",I think we have an emergency,'Cause I won't stop holding on,1
Emergency,All We Know Is Falling,'Cause I won't stop holding on,"If you thought I'd leave, then you were wrong",So are you listening?,1
Emergency,All We Know Is Falling,So are you listening?,'Cause I won't stop holding on,So are you watchin' me?,1
Emergency,All We Know Is Falling,So are you watchin' me?,So are you listening?,"If you thought I'd leave, then you were wrong",1
Emergency,All We Know Is Falling,"If you thought I'd leave, then you were wrong",So are you watchin' me?,'Cause I won't stop holding on,1
Emergency,All We Know Is Falling,'Cause I won't stop holding on,"If you thought I'd leave, then you were wrong",This is an emergency,1
Emergency,All We Know Is Falling,This is an emergency,'Cause I won't stop holding on,So are you listening?,1
Emergency,All We Know Is Falling,So are you listening?,This is an emergency,And I can't pretend,1
Emergency,All We Know Is Falling,And I can't pretend,So are you listening?,That I don't see this,1
Emergency,All We Know Is Falling,That I don't see this,And I can't pretend,But it's really not your fault,1
Emergency,All We Know Is Falling,But it's really not your fault,That I don't see this,That no one cares to talk about it,2
Emergency,All We Know Is Falling,That no one cares to talk about it,But it's really not your fault,To talk about it,2
Emergency,All We Know Is Falling,To talk about it,That no one cares to talk about it,'Cause I've seen love die,2
Emergency,All We Know Is Falling,'Cause I've seen love die,To talk about it,Way too many times,3
Emergency,All We Know Is Falling,Way too many times,'Cause I've seen love die,When it deserved to be alive,3
Emergency,All We Know Is Falling,When it deserved to be alive,Way too many times,(When it deserved to be alive),3
Emergency,All We Know Is Falling,(When it deserved to be alive),When it deserved to be alive,And I've seen you cry,3
Emergency,All We Know Is Falling,And I've seen you cry,(When it deserved to be alive),Way too many times,3
Emergency,All We Know Is Falling,Way too many times,And I've seen you cry,When you deserved to be alive,3
Emergency,All We Know Is Falling,When you deserved to be alive,Way too many times,Alive,3
Emergency,All We Know Is Falling,Alive,When you deserved to be alive,So you give up every chance you get,1
Emergency,All We Know Is Falling,So you give up every chance you get,Alive,Just to feel new again,1
Emergency,All We Know Is Falling,Just to feel new again,So you give up every chance you get,I think we have an emergency,1
Emergency,All We Know Is Falling,I think we have an emergency,Just to feel new again,I think we have an emergency,1
Emergency,All We Know Is Falling,I think we have an emergency,I think we have an emergency,And you do your best to show me love,1
Emergency,All We Know Is Falling,And you do your best to show me love,I think we have an emergency,But you don't know what love is,1
Emergency,All We Know Is Falling,But you don't know what love is,And you do your best to show me love,So are you listening?,1
Emergency,All We Know Is Falling,So are you listening?,But you don't know what love is,So are you watchin' me?,1
Emergency,All We Know Is Falling,So are you watchin' me?,So are you listening?,"Well, I can't pretend",1
Emergency,All We Know Is Falling,"Well, I can't pretend",So are you watchin' me?,That I don't see this,1
Emergency,All We Know Is Falling,That I don't see this,"Well, I can't pretend",But it's really not your fault,1
Emergency,All We Know Is Falling,Alive,When you deserved to be alive,"These scars, they will not",1
Emergency,All We Know Is Falling,"These scars, they will not",Alive,Fade away,1
Emergency,All We Know Is Falling,Fade away,"These scars, they will not",No one cares to talk about it,1
Emergency,All We Know Is Falling,No one cares to talk about it,Fade away,To talk about it,1
Emergency,All We Know Is Falling,To talk about it,No one cares to talk about it,'Cause I've seen love die,1
Emergency,All We Know Is Falling,Alive,When you deserved to be alive,,1
Brighter,All We Know Is Falling,So this is how it goes,,"Well, I, I would have never known",1
Brighter,All We Know Is Falling,"Well, I, I would have never known",So this is how it goes,And if it ends today,1
Brighter,All We Know Is Falling,And if it ends today,"Well, I, I would have never known","Well, I'll still say that you shine brighter than anyone",1
Brighter,All We Know Is Falling,"Well, I'll still say that you shine brighter than anyone",And if it ends today,Now I think we're taking this too far,1
Brighter,All We Know Is Falling,Now I think we're taking this too far,"Well, I'll still say that you shine brighter than anyone",Don't you know that,1
Brighter,All We Know Is Falling,Don't you know that,Now I think we're taking this too far,It's not this hard?,3
Brighter,All We Know Is Falling,It's not this hard?,Don't you know that,"Well, it's not this hard",3
Brighter,All We Know Is Falling,"Well, it's not this hard",It's not this hard?,But if you take what's yours and I take mine,3
Brighter,All We Know Is Falling,But if you take what's yours and I take mine,"Well, it's not this hard",Must we go there?,3
Brighter,All We Know Is Falling,Must we go there?,But if you take what's yours and I take mine,"Please, not this time",3
Brighter,All We Know Is Falling,"Please, not this time",Must we go there?,"No, not this time",3
