Title,Album,Lyrics
All We Know,All We Know Is Falling,"[Verse 1]
We've tried so hard to understand
But we can't
We held the world out in our hands
And you ran away

It takes some time to let you go
And it shows

[Chorus]
'Cause all we know
Is falling, it falls
And remember
'Cause I know that we won't forget at all


[Verse 2]
Now we could follow you back home
But we won't

Is this what you had waited for?

Just to be alone?

It takes some time to let you go
And it shows

[Chorus]
'Cause all we know
Is falling, it falls
And remember
'Cause I know that we won't forget at all

[Bridge]
You never
You never said
This wasn't what you wanted
Was it? Was it?
This isn't what you wanted
This isn't what you wanted

[Chorus]
'Cause all we know
Is falling, it falls
Remember
'Cause I know that we won't forget at all"
Pressure,All We Know Is Falling,"[Verse 1]
Tell me where our time went
And if it was time well spent
Just don't let me fall asleep
Feeling empty again

[Pre-Chorus]
'Cause I fear I might break
And I fear I can't take it
Tonight, I'll lie awake
Feeling empty

[Chorus]
I can feel the pressure
It's getting closer now
We're better off without you
I can feel the pressure
It's getting closer now
We're better off without you

[Verse 2]
Now that I'm losing hope
And there's nothing else to show
For all of the days that we spent
Carried away from home

[Pre-Chorus]
Some things, I'll never know
And I had to let them go
I'm sitting all alone
Feeling empty


[Chorus]
I can feel the pressure
It's getting closer now
We're better off without you
I can feel the pressure
It's getting closer now
We're better off without you

[Post-Chorus]
(Without you)

[Bridge]
Some things, I'll never know
And I had to let them go
Some things, I'll never know
And I had to let them go
Well, I'm sitting all alone
Feeling empty

[Chorus]
I can feel the pressure
It's getting closer now
We're better off without you
Feel the pressure
It's getting closer now
You're better off without me"
Emergency,All We Know Is Falling,"[Verse 1]
I think we have an emergency
I think we have an emergency

If you thought I'd leave, then you were wrong
'Cause I won't stop holding on
So are you listening?
So are you watchin' me?
If you thought I'd leave, then you were wrong
'Cause I won't stop holding on
This is an emergency
So are you listening?
And I can't pretend
That I don't see this


[Pre-Chorus]
But it's really not your fault
That no one cares to talk about it
To talk about it


[Chorus]
'Cause I've seen love die
Way too many times
When it deserved to be alive
(When it deserved to be alive)
And I've seen you cry
Way too many times
When you deserved to be alive
Alive

[Verse 2]
So you give up every chance you get
Just to feel new again
I think we have an emergency
I think we have an emergency

And you do your best to show me love
But you don't know what love is

So are you listening?
So are you watchin' me?
Well, I can't pretend
That I don't see this


[Pre-Chorus]
But it's really not your fault
That no one cares to talk about it
To talk about it


[Chorus]
'Cause I've seen love die
Way too many times
When it deserved to be alive
(When it deserved to be alive)
And I've seen you cry
Way too many times
When you deserved to be alive
Alive

[Bridge]
These scars, they will not
Fade away


[Breakdown]
No one cares to talk about it
To talk about it


[Chorus]
'Cause I've seen love die
Way too many times
When it deserved to be alive
(When it deserved to be alive)
And I've seen you cry
Way too many times
When you deserved to be alive
Alive"
Brighter,All We Know Is Falling,"[Verse 1]
So this is how it goes
Well, I, I would have never known
And if it ends today
Well, I'll still say that you shine brighter than anyone


[Chorus]
Now I think we're taking this too far
Don't you know that
It's not this hard?
Well, it's not this hard
But if you take what's yours and I take mine
Must we go there?
Please, not this time
No, not this time

[Verse 2]
Well, this is not your fault
But if I'm without you, then I will feel so small
And if you have to go
Well, always know that you shine brighter than anyone does

[Chorus]
Now I think we're taking this too far
Don't you know that
It's not this hard?
Well, it's not this hard
But if you take what's yours and I take mine
Must we go there?
Please, not this time
No, not this time

[Bridge]
If you run away now
Will you come back around?

[Verse 3]
And if you ran away
I'd still wave goodbye, watching you shine bright


[Chorus]
Now I think we're taking this too far
Don't you know that
It's not this hard?
Well, it's not this hard
But if you take what's yours and I take mine
Must we go there?
Please, not this time
No, not this time

[Outro]
And I'll wave goodbye (You shine bright)
Watching you shine bright (You shine bright)
And I'll wave goodbye (You shine bright)
Tonight"
Here We Go Again,All We Know Is Falling,"[Verse 1]
And here we go again with all the things we said
And not a minute spent to think that we'd regret
So we just take it back, these words and hold our breath
Forget the things we swore we meant


[Chorus]
I'll write you just to let you know
That I'm alright
Can't say I'm sad to see you go
'Cause I'm not (No, I'm not)
Well, I'm not


[Verse 2]
And here we go again with all the things we did
And now I'm wondering just who would I have been
To be the one attached at all times to your hip
Forget the things we swore we meant

[Chorus]
I'll write you just to let you know
That I'm alright
Can't say I'm sad to see you go
'Cause I'm not (No, I'm not)
Well, I'm not (No, I'm not)
Oh (No, I'm not)

[Instrumental Bridge]

[Chorus]
I'll write you to let you know
That I'm alright
Can't say I'm sad to see you go
'Cause I'm not (No, I'm not)
Well, I'm not (No, I'm not)
I'm not
I'm not


[Outro]

(And here we go again with all the things we said)
(And not a minute spent to think that we'd regret)
(So we just take it back, so we just take it back)
No (So we just take it back, so we just take it back)
I'm not (So we just take it back, so we just take it back)
(So we just take it back, so we just take it back)
I'm not (So we just take it back, so we just take it back)
(So we just take it back)"
Never Let This Go,All We Know Is Falling,"[Verse 1]
Maybe if my heart stops beating, it won't hurt this much
And never will I have to answer again to anyone


[Pre-Chorus]
Please don't get me wrong
Because

[Chorus]
I'll never let this go
But I can't find the words to tell you
I don't wanna be alone (Don't wanna be alone)
But now I feel like I don't know you, oh


[Verse 2]
One day, you'll get sick of saying that everything's alright
And by then, I'm sure I'll be pretending just like I am tonight

[Pre-Chorus]
Please don't get me wrong
Because

[Chorus]
I'll never let this go
But I can't find the words to tell you
I don't wanna be alone (Don't wanna be alone)
But now I feel like I don't know you

[Bridge]
Let this go
Let this go

[Chorus]
But I'll never let this go
But I can't find the words to tell you
I don't wanna be alone (Don't wanna be alone)
But now I feel like I don't know you
And I'll never let this go (Never let this go)
But I can't find the words to tell you
That now I feel like I don't know you"
Whoa,All We Know Is Falling,"[Verse 1]
I've hoped for change and it gets better every day
I've hoped for change, but still, I feel the same

[Pre-Chorus]
There's something wrong 'cause everybody knows
That we can do this on our own

[Chorus]
And we've got everybody singin'
Woah, woah, woah, woah
We've got everybody singin'
Woah, woah, woah, woah

[Verse 2]
We're doing fine and it gets better every time
We're doing fine, but I'll let you decide

[Pre-Chorus]
There's something wrong 'cause everybody knows
That we can do this on our own

[Chorus]
And we've got everybody singin'
Woah, woah, woah, woah
And we've got everybody singin'
Woah, woah, woah, woah

[Bridge]
And I'll confess that I can be a little selfish
Yeah, I'll admit I don't want you to help me through this
I don't want to start over again

[Breakdown]
And we've got everybody singin'

[Chorus]
And we've got everybody singin'
Woah, woah, woah, woah
And we've got everybody singin'
Woah, woah, woah, woah

[Outro]
And I'll confess that I can be a little selfish
I can, I can
Yeah, I'll admit I don't want you to get me through this
I don't want to start over again"
Conspiracy,All We Know Is Falling,"[Verse 1]
Please speak softly for they will hear us

And they'll find out why we don't trust them
Speak up, dear, 'cause I cannot hear you
I need to know why we don't trust them


[Chorus]
Explain to me this conspiracy against me

Yeah, yeah
And tell me how I've lost my power

Oh, yeah

[Verse 2]
Where can I turn? 'Cause I need something more
Surrounded by uncertainty, I'm so unsure
Tell me why I feel so alone
'Cause I need to know to whom do I owe

[Chorus]
Explain to me this conspiracy against me
Yeah, yeah
And tell me how I've lost my power
Oh, yeah

[Bridge]
I thought that we'd make it
Because you said that we'd make it through
And when all security fails, will you be there
To help me through?

[Chorus]
Explain to me this conspiracy against me
Yeah, yeah
And tell me how I've lost my power
Oh

[Outro]
I've lost my power"
Franklin,All We Know Is Falling,"[Verse 1: Hayley Williams]
And when we get home
I know we won't be home at all
This place we live
It is not where we belong
And I miss who we were
In the town that we could call our own
Going back to get away
After everything has changed

[Chorus: Josh Farro, Hayley Williams]
Could you remind me of a time
When we were so alive? (Everything has changed)
Do you remember that?
Do you remember that? (Everything has changed)
Could you help me push aside
All that I have left behind? (Everything is changed)
Do you remember that?
Do you remember that?


[Verse 2: Hayley Williams]
So we stand here now
And no one knows us at all
I won't get used to this
I won't get used to being gone

And going back won't feel the same
If we aren't staying
Going back to get away
After everything has changed

[Chorus: Josh Farro, Hayley Williams]
Could you remind me of a time
When we were so alive? (Everything has changed)
Do you remember that?
Do you remember that? (Everything has changed)
Could you help me push aside
All that I have left behind? (Everything is changed)
Do you remember that?
Do you remember that?


[Break: Hayley Williams]
(Taking up our time)
(Taking up our time)
(Taking up our time)


[Bridge: Hayley Williams]
It's taking up our time, we can't
Go back, we can't go back at all
It's taking up our time, we can't
Go back, we can't go back at all
It's taking up our time, we can't
Go back, we can't go back at all
It's taking up our time
Taking up our time


[Outro: Josh Farro, Hayley Williams & Josh Farro]
'Cause you remind me of a time
When we were so alive
Do you remember that?
Do you remember that?"
My Heart,All We Know Is Falling,"[Verse 1]
I am finding out
Then, maybe, I was wrong
That I've fallen down
And I can't do this alone


[Pre-Chorus]
Stay with me
This is what I need, please


[Chorus]
Sing us a song
And we'll sing it back to you
We could sing our own
But what would it be without you? Oh


[Verse 2]
I am nothing now
And it's been so long
Since I've heard a sound
The sound of my only hope


[Pre-Chorus]
This time
I will be listening

[Chorus]
Sing us a song
And we'll sing it back to you (Sing it back to you)
We could sing our own
But what would it be without you? Oh


[Post-Chorus]
(This heart, this heart, this heart, this heart)
(This heart, this heart, this heart, this heart)

[Bridge]
This heart, it beats, beats for only you
(This heart, this heart, this heart, this heart)
This heart, it beats, beats for only you

Oh (Yeah)
This heart, it beats, beats for only you
My heart is yours
This heart, it beats, beats for only you
My heart is yours
(My heart, it beats for you)

This heart, it beats, beats for only you
My heart is yours
This heart, it beats, beats for only you
(Please don't go now, please don't fade away)

My heart, my heart is yours
(Please don't go now, please don't fade away)


[Outro]
(Please don't go now, please don't fade away)
My heart is yours

(Please don't go now, please don't fade away)
My heart is

(Please don't go, please don't fade away)
Yours, oh
(Please don't go now, please don't fade away)
My heart is"
